,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,구역
서울중부경찰서,2.0,2.0,3.0,2.0,105.0,65.0,1395.0,477.0,1355.0,1170.0,중구
서울종로경찰서,3.0,3.0,6.0,5.0,115.0,98.0,1070.0,413.0,1278.0,1070.0,종로구
서울남대문경찰서,1.0,0.0,6.0,4.0,65.0,46.0,1153.0,382.0,869.0,794.0,중구
서울서대문경찰서,2.0,2.0,5.0,4.0,154.0,124.0,1812.0,738.0,2056.0,1711.0,서대문구
서울혜화경찰서,3.0,2.0,5.0,4.0,96.0,63.0,1114.0,424.0,1015.0,861.0,종로구
서울용산경찰서,5.0,5.0,14.0,14.0,194.0,173.0,1557.0,587.0,2050.0,1704.0,용산구
서울성북경찰서,2.0,2.0,2.0,1.0,86.0,71.0,953.0,409.0,1194.0,1015.0,성북구
서울동대문경찰서,5.0,5.0,13.0,13.0,173.0,146.0,1981.0,814.0,2548.0,2227.0,동대문구
서울마포경찰서,8.0,8.0,14.0,10.0,294.0,247.0,2555.0,813.0,2983.0,2519.0,마포구
서울영등포경찰서,14.0,12.0,22.0,20.0,295.0,183.0,2964.0,978.0,3572.0,2961.0,영등포구
서울성동경찰서,4.0,4.0,9.0,8.0,126.0,119.0,1607.0,597.0,1612.0,1395.0,성동구
서울동작경찰서,5.0,5.0,9.0,5.0,285.0,139.0,1865.0,661.0,1910.0,1587.0,광진구
서울광진경찰서,4.0,4.0,14.0,26.0,240.0,220.0,3026.0,1277.0,2625.0,2180.0,광진구
서울서부경찰서,2.0,2.0,2.0,1.0,70.0,59.0,819.0,293.0,1192.0,1038.0,은평구
서울강북경찰서,7.0,8.0,14.0,13.0,153.0,126.0,1434.0,618.0,2649.0,2348.0,강북구
서울금천경찰서,3.0,4.0,6.0,6.0,151.0,122.0,1567.0,888.0,2054.0,1776.0,금천구
서울중랑경찰서,13.0,12.0,11.0,9.0,187.0,148.0,2135.0,829.0,2847.0,2407.0,중랑구
서울강남경찰서,3.0,3.0,15.0,12.0,300.0,225.0,2411.0,984.0,2465.0,2146.0,강남구
서울관악경찰서,9.0,8.0,12.0,14.0,320.0,221.0,2706.0,827.0,3298.0,2642.0,관악구
서울강서경찰서,7.0,8.0,13.0,13.0,262.0,191.0,2096.0,1260.0,3207.0,2718.0,강서구
서울강동경찰서,4.0,3.0,6.0,8.0,156.0,123.0,2366.0,789.0,2712.0,2248.0,강동구
서울종암경찰서,3.0,3.0,3.0,3.0,64.0,53.0,832.0,332.0,1015.0,840.0,성북구
서울구로경찰서,8.0,6.0,15.0,11.0,281.0,164.0,2335.0,889.0,3007.0,2432.0,구로구
서울서초경찰서,7.0,4.0,8.0,5.0,334.0,193.0,1982.0,905.0,1852.0,1607.0,서초구
서울양천경찰서,3.0,5.0,6.0,3.0,120.0,105.0,1890.0,672.0,2509.0,2030.0,양천구
서울송파경찰서,11.0,10.0,13.0,10.0,220.0,178.0,3239.0,1129.0,3295.0,2786.0,송파구
서울노원경찰서,10.0,10.0,7.0,7.0,197.0,121.0,2193.0,801.0,2723.0,2329.0,노원구
서울방배경찰서,1.0,2.0,1.0,1.0,59.0,56.0,653.0,186.0,547.0,491.0,서초구
서울은평경찰서,1.0,1.0,7.0,5.0,96.0,82.0,1095.0,418.0,1461.0,1268.0,은평구
서울도봉경찰서,3.0,3.0,9.0,10.0,102.0,106.0,1063.0,478.0,1487.0,1303.0,도봉구
서울수서경찰서,10.0,7.0,6.0,6.0,149.0,124.0,1439.0,666.0,1819.0,1559.0,강남구
